jaccard_similarity,skill_coverage,experience_match,education_match,matched_skill_count,missing_skill_count,candidate_skill_count,required_skill_count,label
0.0,0.0,0.0,0.0,0,3,1,3,0
0.0,1.0,0.4167,0.5,0,0,0,0,0
0.0,1.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0,4,0,4,0
0.0,1.0,0.0,1.0,0,0,0,0,0
0.0,1.0,1.0,0.0,0,0,8,0,0
0.1765,1.0,1.0,1.0,3,0,17,3,0
0.0,0.0,0.0,1.0,0,1,0,1,0
0.25,0.3333,0.6,1.0,1,2,2,3,0
0.0,1.0,1.0,1.0,0,0,2,0,0
0.0,0.0,0.0,1.0,0,2,0,2,0
0.1111,0.1667,0.0,0.0,1,5,4,6,0
0.25,0.3333,1.0,1.0,1,2,2,3,0
0.0,0.0,0.0,0.0,0,7,0,7,0
0.0,1.0,1.0,1.0,0,0,1,0,1
0.1667,0.2,0.0,0.5,1,4,2,5,0
0.0,1.0,0.0,1.0,0,0,7,0,0
0.0,1.0,1.0,1.0,0,0,3,0,1
0.0,0.0,0.0,0.0,0,3,2,3,0
0.0,0.0,0.0,0.5,0,5,1,5,0
0.0,1.0,1.0,1.0,0,0,1,0,0
0.0,1.0,0.0,1.0,0,0,0,0,1
0.0,1.0,1.0,0.0,0,0,0,0,0
0.0,1.0,0.0,1.0,0,0,0,0,0
0.0,1.0,0.0,0.5,0,0,1,0,1
0.0,1.0,1.0,0.0,0,0,0,0,0
0.0,1.0,1.0,1.0,0,0,9,0,0
0.0,1.0,0.0,1.0,0,0,0,0,0
0.0,1.0,1.0,0.5,0,0,5,0,0
0.0,0.0,1.0,1.0,0,1,1,1,0
0.0,0.0,1.0,1.0,0,3,2,3,0
0.0,0.0,0.0,1.0,0,4,1,4,0
0.0,1.0,0.0,0.0,0,0,11,0,0
0.0,0.0,0.0,1.0,0,4,1,4,0
0.0,0.0,1.0,1.0,0,1,1,1,0
0.0,0.0,0.0,1.0,0,1,0,1,0
0.0,1.0,1.0,1.0,0,0,0,0,1
0.0,1.0,0.0,1.0,0,0,0,0,0
0.0,1.0,0.8,0.0,0,0,0,0,0
0.0,1.0,1.0,1.0,0,0,3,0,0
0.0,0.0,0.0,0.5,0,9,2,9,0
0.0,1.0,1.0,1.0,0,0,1,0,0
0.0,1.0,0.0,1.0,0,0,0,0,1
0.0,0.0,1.0,0.0,0,2,0,2,0
0.0,0.0,1.0,0.0,0,1,4,1,0
0.0,1.0,1.0,1.0,0,0,2,0,0
0.125,0.6667,1.0,1.0,2,1,15,3,0
0.0,0.0,0.0,1.0,0,1,0,1,0
0.0,1.0,1.0,1.0,0,0,6,0,0
0.3,0.6,0.0,1.0,3,2,8,5,1
0.1429,0.25,0.0,1.0,1,3,4,4,1
0.0,0.0,1.0,1.0,0,2,0,2,0
0.0,0.0,1.0,1.0,0,6,2,6,0
0.0,1.0,0.0,1.0,0,0,4,0,0
